,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2019,31,182,Minnesota,36,22,14,.611,12.52,11.27,9,11,14,3,2,9,2543,2498,103.7,.416,.296,.521,51.2,59.0,7.1,10.1,.482,14.6,30.9,.283,True,False,10
2019,32,185,Mississippi,33,20,13,.606,12.32,8.13,10,8,11,5,6,5,2485,2347,108.4,.309,.399,.568,51.1,54.2,10.2,9.6,.531,16.0,30.1,.242,True,False,8
2019,33,183,Mississippi State,34,23,11,.676,15.96,9.07,10,8,14,3,5,5,2628,2394,111.9,.326,.391,.574,52.8,51.4,11.7,14.0,.546,16.5,34.6,.234,True,False,5
2019,34,191,Montana,35,26,9,.743,1.50,-5.05,16,4,12,2,9,5,2665,2397,110.6,.313,.385,.585,51.8,52.3,9.5,8.8,.564,15.4,26.6,.216,True,True,15
2019,35,195,Murray State,33,28,5,.848,8.96,-3.11,16,2,15,1,10,3,2727,2255,115.1,.335,.364,.586,52.1,59.8,10.5,11.5,.557,14.7,31.3,.246,True,True,12
2019,36,200,Nevada,34,29,5,.853,16.00,2.68,15,3,15,0,9,3,2723,2270,113.2,.408,.428,.570,51.8,53.9,8.8,11.2,.537,12.9,27.1,.289,True,False,7
2019,37,202,New Mexico State,35,30,5,.857,10.05,-2.38,15,1,16,1,10,1,2734,2259,113.9,.341,.467,.562,57.2,53.4,8.2,8.1,.538,14.7,36.7,.231,True,True,12
2019,38,216,North Carolina,36,29,7,.806,23.94,11.35,16,2,14,2,11,1,3089,2636,112.7,.302,.358,.560,56.6,60.6,9.2,9.5,.529,14.6,34.8,.224,True,False,1
2019,39,212,North Carolina Central,34,18,16,.529,-11.53,-11.24,10,6,10,2,4,12,2429,2266,104.0,.334,.361,.545,54.8,60.2,8.9,7.5,.512,18.8,35.1,.239,True,True,16
2019,40,217,North Dakota State,35,19,16,.543,-4.01,-2.07,9,7,10,3,4,9,2556,2541,108.5,.318,.472,.576,48.7,46.0,6.8,6.6,.540,14.2,20.6,.247,True,True,16
2019,41,221,Northeastern,34,23,11,.676,3.95,-0.70,14,4,11,2,8,6,2564,2406,111.7,.343,.464,.597,49.7,54.5,9.2,6.0,.565,15.1,22.5,.258,True,True,13
2019,42,226,Northern Kentucky,35,26,9,.743,4.67,-2.39,13,5,17,1,7,7,2747,2410,111.3,.354,.412,.574,53.2,60.5,8.8,11.5,.553,15.6,30.6,.236,True,True,14
2019,43,231,Ohio State,35,20,15,.571,13.89,11.00,8,12,12,6,4,7,2419,2318,103.2,.337,.401,.540,50.9,58.9,8.8,7.0,.503,16.4,27.6,.247,True,False,11
2019,44,234,Oklahoma,34,20,14,.588,15.30,12.21,7,11,11,4,5,7,2423,2318,102.5,.313,.331,.534,50.2,48.7,8.6,8.3,.504,15.0,25.6,.218,True,False,9
