,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2000,32,161,Michigan State,39,32,7,.821,25.04,9.91,13,3,,,,,2889,2299,112.1,.380,.311,.570,58.9,59.1,9.9,7.7,.533,18.3,42.1,.279,True,True,1
2000,33,171,Missouri,31,18,13,.581,12.55,8.22,10,6,,,,,2302,2168,103.6,.363,.441,.539,46.5,55.3,12.4,4.8,.503,16.2,28.9,.257,True,False,9
2000,34,181,Nevada-Las Vegas,31,23,8,.742,9.74,2.52,10,4,,,,,2548,2324,104.1,.376,.258,.529,53.6,67.1,10.7,10.5,.496,18.6,38.8,.256,True,True,10
2000,35,195,North Carolina,36,22,14,.611,17.00,11.80,9,7,,,,,2715,2528,107.9,.358,.238,.562,52.8,60.1,8.3,11.2,.532,18.1,37.3,.251,True,False,8
2000,36,194,North Carolina-Wilmington,31,18,13,.581,2.41,-0.24,8,8,,,,,1863,1781,88.8,.349,.294,.497,50.0,56.2,10.5,6.4,.469,23.2,30.4,.219,True,True,15
2000,37,198,Northern Arizona,31,20,11,.645,4.34,1.37,11,5,,,,,2280,2134,106.6,.383,.414,.593,52.2,63.6,5.6,7.6,.558,21.1,31.6,.287,True,True,15
2000,38,205,Ohio State,30,23,7,.767,17.55,6.55,13,3,,,,,2182,1852,106.5,.360,.261,.533,52.1,48.6,9.5,17.1,.497,15.6,36.8,.253,True,False,3
2000,39,208,Oklahoma,34,27,7,.794,19.25,6.63,12,4,,,,,2546,2117,110.6,.315,.343,.552,52.7,57.3,10.5,7.3,.523,15.9,36.5,.224,True,False,3
2000,40,207,Oklahoma State,34,27,7,.794,20.01,6.59,12,4,,,,,2620,2117,108.8,.395,.287,.567,52.6,68.8,10.8,9.5,.535,17.3,34.6,.276,True,False,3
2000,41,212,Oregon,30,22,8,.733,14.74,8.53,13,5,,,,,2269,2047,104.9,.375,.321,.559,51.3,60.8,9.5,7.1,.519,18.8,34.8,.279,True,False,7
2000,42,215,Pennsylvania,29,21,8,.724,4.00,-2.89,14,0,,,,,1942,1742,103.4,.336,.344,.535,52.7,61.7,8.4,10.9,.512,16.9,32.2,.217,True,False,13
2000,43,216,Pepperdine,34,25,9,.735,13.11,3.35,12,2,,,,,2481,2149,101.0,.276,.329,.524,50.9,53.2,13.0,7.5,.500,17.5,32.8,.184,True,False,11
2000,44,223,Purdue,34,24,10,.706,16.87,9.56,12,4,,,,,2505,2246,106.2,.459,.308,.537,51.9,56.8,11.1,7.9,.497,17.8,38.7,.314,True,False,6
2000,45,236,Saint Louis,33,19,14,.576,9.00,8.39,7,9,,,,,2124,2104,94.3,.447,.255,.517,50.8,55.0,11.3,9.2,.473,22.2,35.7,.307,True,True,9
2000,46,240,Samford,32,21,11,.656,3.20,-5.80,12,6,,,,,2323,1998,112.1,.312,.488,.613,50.6,65.8,11.1,9.3,.595,18.8,29.3,.218,True,True,13
2000,47,246,Seton Hall,32,22,10,.688,10.64,5.11,10,6,,,,,2295,2118,104.2,.341,.367,.530,49.0,56.8,10.2,13.8,.500,18.0,36.6,.231,True,False,10
2000,48,249,South Carolina State,34,20,14,.588,-10.41,-9.38,14,5,,,,,2386,2421,101.1,.361,.301,.481,52.5,44.6,10.0,10.0,.442,16.4,42.0,.243,True,True,16
2000,49,252,Southeast Missouri State,31,24,7,.774,4.42,-2.48,14,4,,,,,2154,1911,102.0,.394,.332,.540,50.8,51.2,8.9,12.9,.503,19.3,33.3,.277,True,True,13
2000,50,260,St. Bonaventure,31,21,10,.677,9.45,5.29,11,5,,,,,2136,2007,102.7,.375,.298,.528,52.1,50.3,12.4,7.8,.499,19.4,39.9,.248,True,False,12
2000,51,262,St. John's (NY),33,25,8,.758,14.26,6.96,12,4,,,,,2043,2192,97.5,.360,.366,.522,49.9,63.4,16.8,7.6,.483,16.9,36.5,.257,True,True,2
2000,52,263,Stanford,31,27,4,.871,25.65,7.12,15,3,,,,,2447,1850,112.1,.454,.350,.575,56.5,65.8,6.5,12.4,.538,17.5,38.5,.322,True,False,1
2000,53,267,Syracuse,32,26,6,.813,17.67,6.20,13,3,,,,,2400,2033,109.7,.362,.258,.548,52.6,64.4,13.1,13.1,.514,17.0,40.2,.255,True,False,4
