,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2002,8,62,Connecticut,34,27,7,.794,16.02,7.43,13,3,13,1,7,3,2646,2354,,.391,.194,.555,53.0,50.8,,10.8,.521,18.6,,.272,True,True,2
2002,9,65,Creighton,32,23,9,.719,8.38,1.38,14,4,12,3,7,5,2421,2197,,.369,.338,.563,52.8,57.5,,7.2,.527,17.6,,.270,True,True,12
2002,10,67,Davidson,31,21,10,.677,0.60,0.71,11,5,11,2,7,6,2192,2046,,.323,.397,.534,51.2,62.4,,6.4,.506,19.2,,.220,True,True,13
2002,11,76,Duke,35,31,4,.886,28.91,9.16,13,3,13,0,7,3,3112,2421,,.410,.376,.590,50.7,57.2,,5.3,.563,16.0,,.283,True,True,1
2002,12,92,Florida,31,22,9,.710,22.27,8.37,10,6,13,2,6,4,2495,2064,,.362,.346,.561,52.9,58.2,,7.9,.531,17.2,,.252,True,False,5
2002,13,89,Florida Atlantic,31,19,12,.613,-3.95,-5.33,13,7,10,3,6,8,2303,2235,,.304,.262,.500,50.9,56.2,,6.0,.471,17.1,,.202,True,True,15
2002,14,102,Georgia,32,22,10,.688,14.68,9.24,10,6,12,2,6,6,2444,2271,,.357,.302,.537,51.5,56.8,,5.8,.496,16.7,,.263,True,False,3
2002,15,103,Gonzaga,33,29,4,.879,13.90,0.74,13,1,13,0,11,2,2677,2197,,.443,.314,.573,56.0,57.6,,5.6,.531,16.4,,.324,True,True,6
2002,16,106,Hampton,33,26,7,.788,-0.40,-8.90,17,1,10,0,11,4,2623,2344,,.415,.317,.565,52.0,50.4,,5.8,.537,17.4,,.278,True,True,15
2002,17,109,Hawaii,33,27,6,.818,9.81,1.15,15,3,16,1,7,3,2367,2081,,.394,.349,.548,49.0,66.7,,6.3,.516,15.9,,.270,True,True,10
2002,18,112,Holy Cross,33,18,15,.545,-1.62,-5.10,9,5,9,3,6,8,2083,1968,,.462,.257,.499,54.3,63.1,,6.3,.449,18.4,,.320,True,True,16
2002,19,119,Illinois,35,26,9,.743,19.20,9.94,11,5,13,1,5,6,2708,2369,,.446,.358,.578,53.1,65.0,,7.2,.536,17.9,,.330,True,False,4
2002,20,117,Illinois-Chicago,34,20,14,.588,1.45,1.42,8,8,11,2,3,10,2503,2400,,.411,.317,.536,49.0,53.6,,2.6,.506,15.7,,.270,True,True,15
2002,21,121,Indiana,37,25,12,.676,19.19,12.08,11,5,10,1,6,5,2607,2316,,.365,.331,.558,51.2,59.6,,9.3,.528,17.9,,.254,True,False,5
2002,22,131,Kansas,37,33,4,.892,24.38,9.35,16,0,13,0,11,1,3365,2765,,.349,.216,.580,55.5,60.9,,8.5,.551,17.2,,.251,True,False,1
2002,23,132,Kent State,36,30,6,.833,13.67,2.10,17,1,12,0,10,3,2732,2305,,.350,.292,.557,53.7,49.0,,3.7,.522,13.8,,.255,True,True,10
2002,24,133,Kentucky,32,22,10,.688,19.15,11.99,10,6,12,3,5,4,2460,2183,,.316,.342,.529,53.7,52.0,,8.1,.502,16.5,,.213,True,False,4
2002,25,152,Marquette,33,26,7,.788,17.16,4.77,13,3,16,0,5,6,2413,2004,,.391,.248,.553,53.4,53.0,,6.4,.520,17.2,,.271,True,False,5
2002,26,156,Maryland,36,32,4,.889,23.50,9.38,15,1,15,0,7,2,3060,2552,,.415,.258,.569,52.4,65.9,,9.4,.530,15.5,,.301,True,False,1
2002,27,158,McNeese State,30,21,9,.700,-0.59,-5.80,17,3,13,0,8,8,2102,1909,,.404,.276,.523,52.9,52.1,,9.3,.491,19.3,,.264,True,True,14
2002,28,161,Miami (FL),32,24,8,.750,12.99,5.52,10,6,13,2,5,4,2395,2156,,.356,.360,.538,48.8,64.2,,10.1,.492,17.1,,.275,True,False,5
2002,29,163,Michigan State,31,19,12,.613,14.90,9.60,10,6,15,2,4,5,2150,1978,,.346,.277,.558,55.9,57.3,,5.4,.516,19.3,,.267,True,False,10
2002,30,170,Mississippi,31,20,11,.645,13.61,6.85,9,7,13,1,4,7,2232,1993,,.425,.382,.574,51.9,57.3,,3.5,.533,19.7,,.313,True,False,9
2002,31,168,Mississippi State,35,27,8,.771,14.42,7.33,10,6,14,1,7,5,2582,2334,,.393,.280,.554,54.5,60.0,,5.9,.529,20.0,,.256,True,True,3
2002,32,173,Missouri,36,24,12,.667,14.22,6.81,9,7,14,3,4,6,2877,2610,,.315,.370,.555,53.0,52.3,,7.2,.530,16.5,,.217,True,False,12
2002,33,176,Montana,31,16,15,.516,-4.20,-1.71,7,7,9,4,4,8,2218,2263,,.432,.357,.551,48.6,59.5,,6.8,.519,18.7,,.290,True,True,15
2002,34,181,Murray State,32,19,13,.594,0.65,-1.94,10,6,11,4,5,8,2514,2349,,.279,.312,.530,53.9,49.4,,8.6,.500,16.1,,.202,True,True,14
2002,35,196,North Carolina State,34,23,11,.676,15.85,8.17,9,7,14,4,6,5,2565,2304,,.389,.405,.567,49.8,63.4,,4.0,.525,16.6,,.294,True,False,7
2002,36,197,North Carolina-Wilmington,33,23,10,.697,6.15,-0.09,14,4,11,2,9,7,2240,2034,,.363,.328,.530,49.6,57.8,,6.0,.496,16.0,,.250,True,True,13
2002,37,206,Notre Dame,33,22,11,.667,15.70,6.17,10,6,9,4,7,4,2601,2256,,.339,.316,.550,52.1,67.3,,7.8,.518,15.5,,.240,True,False,8
2002,38,208,Ohio State,32,24,8,.750,16.14,7.26,11,5,15,2,5,5,2362,2078,,.467,.274,.568,52.5,58.5,,4.5,.536,16.8,,.316,True,True,4
2002,39,211,Oklahoma,36,31,5,.861,21.04,7.70,13,3,16,0,7,4,2807,2327,,.314,.295,.535,54.0,51.1,,6.8,.495,14.0,,.241,True,True,2
2002,40,210,Oklahoma State,32,23,9,.719,14.39,6.80,10,6,13,2,5,5,2293,2050,,.380,.274,.521,54.4,55.1,,6.0,.493,18.1,,.245,True,False,7
2002,41,215,Oregon,35,26,9,.743,19.67,6.93,14,4,17,0,5,7,2994,2538,,.414,.346,.601,51.7,57.2,,5.2,.560,16.2,,.318,True,False,2
2002,42,218,Pennsylvania,32,25,7,.781,7.96,-1.51,11,3,13,3,10,2,2342,2039,,.358,.393,.588,49.0,68.8,,6.1,.557,17.5,,.262,True,False,11
2002,43,219,Pepperdine,31,22,9,.710,8.59,3.36,13,1,11,1,7,6,2519,2319,,.332,.319,.547,49.1,49.1,,8.5,.514,16.3,,.238,True,False,10
2002,44,220,Pittsburgh,35,29,6,.829,14.69,4.55,13,3,16,1,7,2,2530,2133,,.380,.345,.543,54.5,63.6,,8.1,.526,17.6,,.230,True,False,3
2002,45,244,San Diego State,33,21,12,.636,7.69,6.02,7,7,12,3,6,8,2455,2339,,.395,.215,.543,52.4,52.1,,6.6,.515,18.4,,.261,True,True,13
2002,46,250,Siena,36,17,19,.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,,.369,.353,.524,50.4,54.5,,7.2,.478,18.6,,.274,True,True,16
2002,47,257,Southern California,32,22,10,.688,16.49,8.31,12,6,13,2,9,6,2494,2232,,.333,.281,.522,51.3,55.4,,7.1,.489,14.0,,.230,True,False,4
2002,48,258,Southern Illinois,36,28,8,.778,9.79,1.67,14,4,13,0,9,5,2717,2425,,.416,.284,.536,52.2,56.0,,8.5,.513,16.3,,.258,True,False,11
2002,49,265,St. John's (NY),32,20,12,.625,7.80,6.30,9,7,14,2,3,7,2250,2202,,.415,.248,.481,50.0,46.9,,6.8,.437,17.1,,.278,True,False,9
2002,50,266,Stanford,30,20,10,.667,17.03,9.03,12,6,10,3,7,5,2420,2180,,.446,.334,.548,55.7,58.4,,7.2,.508,15.6,,.312,True,False,8
2002,51,285,Texas,34,22,12,.647,14.31,9.98,10,6,10,5,7,3,2657,2489,,.388,.260,.535,53.3,54.4,,6.4,.500,15.8,,.267,True,False,6
2002,52,284,Texas Tech,32,23,9,.719,14.72,7.22,10,6,15,2,6,5,2532,2292,,.384,.194,.536,49.2,63.2,,6.5,.502,14.4,,.262,True,False,6
2002,53,290,Tulsa,34,27,7,.794,12.66,2.30,15,3,13,3,10,2,2726,2363,,.359,.317,.578,50.9,61.0,,7.7,.541,15.6,,.270,True,False,12
2002,54,40,UC-Santa Barbara,31,20,11,.645,5.55,-0.05,11,7,11,2,5,8,2066,1889,,.411,.323,.560,52.6,65.5,,5.4,.514,18.6,,.310,True,True,14
2002,55,291,UCLA,33,21,12,.636,13.14,10.77,11,7,11,4,5,6,2476,2398,,.339,.299,.558,52.1,52.7,,4.6,.530,18.3,,.235,True,False,8
2002,56,41,University of California,32,23,9,.719,13.08,7.45,12,6,18,1,4,7,2310,2130,,.362,.322,.533,48.8,58.3,,7.6,.502,16.3,,.245,True,False,6
2002,57,293,Utah,30,21,9,.700,10.68,5.18,10,4,14,2,6,6,2018,1839,,.411,.397,.575,50.6,63.8,,5.6,.549,18.5,,.277,True,False,12
2002,58,294,Valparaiso,33,25,8,.758,9.38,-1.24,12,2,11,1,8,5,2564,2180,,.379,.395,.546,50.8,63.8,,7.3,.518,15.7,,.253,True,True,13
2002,59,303,Wake Forest,34,21,13,.618,15.25,10.28,9,7,13,3,5,7,2789,2620,,.354,.313,.570,52.0,55.2,,6.6,.535,16.9,,.261,True,False,7
2002,60,310,Western Kentucky,32,28,4,.875,10.46,-0.28,13,1,14,0,10,3,2491,2069,,.349,.390,.567,54.6,57.2,,5.9,.539,17.2,,.244,True,True,9
2002,61,314,Winthrop,31,19,12,.613,-6.54,-8.21,10,4,9,4,7,5,2092,2018,,.394,.363,.508,52.1,49.5,,7.7,.474,18.2,,.258,True,True,16
2002,62,315,Wisconsin,32,19,13,.594,10.09,9.22,11,5,12,1,6,8,2144,2101,,.391,.354,.540,49.9,55.7,,3.5,.499,17.2,,.281,True,False,8
2002,63,318,Wyoming,31,22,9,.710,8.62,2.72,11,3,14,1,6,6,2324,2129,,.494,.252,.539,55.3,52.6,,7.6,.493,17.2,,.345,True,False,11
2002,64,319,Xavier,32,26,6,.813,13.90,4.09,14,2,13,1,9,4,2317,2003,,.453,.319,.550,52.7,51.5,,7.6,.505,17.1,,.327,True,True,7
2003,0,6,Alabama,29,17,12,.586,13.36,9.40,7,9,13,2,1,8,2002,1887,,.364,.344,.516,52.6,50.6,,7.0,.476,16.4,,.260,True,False,10
2003,1,12,Arizona,32,28,4,.875,23.42,8.95,17,1,14,1,11,1,2725,2262,,.368,.306,.549,54.0,58.5,,6.5,.515,15.9,,.261,True,False,1
2003,2,11,Arizona State,32,20,12,.625,15.01,9.27,11,7,12,3,4,6,2464,2257,,.453,.220,.552,53.0,57.1,,7.7,.518,16.4,,.305,True,False,10
2003,3,18,Auburn,34,22,12,.647,12.68,8.34,8,8,13,4,4,5,2408,2235,,.362,.303,.543,51.5,52.0,,9.1,.517,19.6,,.239,True,False,10
2003,4,19,Austin Peay,31,23,8,.742,-0.84,-1.98,13,3,14,0,6,7,2204,2101,,.436,.336,.554,50.9,55.9,,8.1,.518,19.3,,.301,True,True,13
2003,5,30,Brigham Young,32,23,9,.719,13.63,5.29,11,3,13,1,6,5,2299,2032,,.461,.313,.570,53.3,55.9,,5.0,.521,17.8,,.348,True,False,12
2003,6,34,Butler,33,27,6,.818,9.11,2.23,14,2,13,0,10,5,2229,1986,,.322,.422,.584,47.9,53.4,,3.5,.558,15.6,,.231,True,False,12
2003,7,47,Central Michigan,32,25,7,.781,6.85,1.79,14,4,12,1,9,5,2553,2346,,.460,.335,.611,52.1,58.3,,6.5,.569,21.6,,.351,True,True,11
2003,8,52,Cincinnati,29,17,12,.586,12.90,7.45,9,7,13,3,3,7,1954,1796,,.371,.347,.503,50.2,53.5,,8.1,.463,13.6,,.256,True,False,8
2003,9,60,Colorado,32,20,12,.625,12.82,8.01,9,7,14,1,3,9,2405,2251,,.387,.248,.518,53.5,48.8,,10.6,.484,16.1,,.259,True,False,10
2003,10,59,Colorado State,33,19,14,.576,5.38,4.41,5,9,14,4,3,9,2450,2363,,.465,.219,.579,53.3,58.7,,7.8,.545,20.7,,.324,True,True,14
2003,11,62,Connecticut,33,23,10,.697,15.84,7.63,10,6,14,2,5,6,2622,2351,,.358,.247,.545,53.4,52.1,,11.7,.516,17.4,,.242,True,False,5
2003,12,65,Creighton,34,29,5,.853,15.33,1.03,15,3,17,0,7,4,2688,2202,,.347,.354,.590,51.2,59.0,,8.1,.567,16.8,,.240,True,True,6
2003,13,68,Dayton,30,24,6,.800,11.00,5.17,14,2,17,1,7,4,2182,2007,,.410,.386,.558,53.6,61.2,,5.2,.520,16.9,,.292,True,True,4
2003,14,76,Duke,33,26,7,.788,19.86,8.38,11,5,15,0,3,6,2677,2298,,.453,.339,.556,51.0,49.5,,9.4,.514,16.1,,.323,True,True,3
2003,15,79,East Tennessee State,31,20,11,.645,-0.90,-2.94,11,5,11,2,5,8,2543,2332,,.409,.245,.551,51.7,49.8,,8.1,.508,19.5,,.299,True,True,15
2003,16,92,Florida,33,25,8,.758,18.54,7.76,12,4,15,1,8,3,2484,2128,,.330,.396,.578,50.8,61.4,,7.0,.553,16.9,,.232,True,False,2
2003,17,104,Gonzaga,33,24,9,.727,12.26,3.80,12,2,11,2,9,3,2558,2279,,.446,.345,.573,54.1,60.3,,6.2,.533,17.5,,.323,True,False,9
2003,18,113,Holy Cross,31,26,5,.839,5.26,-5.38,13,1,12,0,12,3,2180,1821,,.423,.285,.552,56.0,64.4,,8.7,.514,17.8,,.299,True,True,14
2003,19,127,IUPUI,34,20,14,.588,-2.43,-1.80,10,4,9,3,7,8,2423,2406,,.417,.337,.545,50.4,54.9,,3.3,.507,19.7,,.292,True,True,16
2003,20,120,Illinois,32,25,7,.781,19.82,6.76,11,5,15,0,4,6,2388,1970,,.336,.355,.574,52.1,66.9,,5.7,.544,16.7,,.244,True,True,4
2003,21,122,Indiana,34,21,13,.618,12.63,9.81,8,8,11,1,2,9,2376,2280,,.411,.393,.537,50.3,59.6,,8.8,.494,15.1,,.295,True,False,7
2003,22,133,Kansas,38,30,8,.789,25.00,10.53,14,2,15,1,7,2,3141,2541,,.379,.228,.556,55.2,55.2,,8.2,.532,16.6,,.248,True,False,2
2003,23,135,Kentucky,36,32,4,.889,22.47,9.33,16,0,12,1,9,1,2782,2309,,.353,.278,.567,54.3,55.9,,8.8,.538,17.0,,.248,True,True,1
2003,24,145,Louisiana State,32,21,11,.656,16.08,6.83,8,8,16,2,2,6,2326,2030,,.358,.323,.562,51.7,60.5,,7.4,.542,17.7,,.231,True,False,8
2003,25,147,Louisville,32,25,7,.781,19.81,6.84,11,5,16,2,8,3,2612,2197,,.395,.386,.564,51.5,58.6,,8.3,.532,15.5,,.275,True,True,4
2003,26,152,Manhattan,30,23,7,.767,5.78,-1.99,14,4,7,2,12,3,2274,2041,,.411,.277,.550,49.1,54.0,,6.9,.495,17.0,,.324,True,True,14
2003,27,154,Marquette,33,27,6,.818,16.28,7.28,14,2,15,1,7,3,2589,2292,,.406,.272,.580,53.1,59.2,,6.0,.536,16.4,,.313,True,False,3
2003,28,158,Maryland,31,21,10,.677,20.56,7.56,11,5,14,2,4,5,2472,2069,,.337,.270,.549,51.8,63.6,,10.6,.517,16.1,,.240,True,False,6
2003,29,161,Memphis,30,23,7,.767,13.23,5.27,13,3,14,2,7,4,2232,1993,,.379,.337,.523,52.7,62.6,,8.7,.493,16.2,,.248,True,False,7
2003,30,165,Michigan State,35,22,13,.629,16.12,9.72,10,6,14,2,3,6,2367,2143,,.427,.266,.548,54.2,58.4,,6.8,.502,18.9,,.314,True,False,7
2003,31,168,Milwaukee,32,24,8,.750,7.71,0.81,13,3,12,0,9,6,2466,2238,,.367,.375,.566,50.1,62.0,,6.5,.537,17.9,,.254,True,True,12
2003,32,170,Mississippi State,31,21,10,.677,17.65,8.00,9,7,13,2,4,6,2151,1852,,.316,.295,.544,54.5,55.2,,6.9,.519,19.5,,.213,True,False,5
2003,33,175,Missouri,33,22,11,.667,14.87,10.15,9,7,14,1,3,7,2389,2233,,.306,.357,.532,52.2,52.0,,7.3,.508,16.9,,.203,True,False,6
2003,34,198,North Carolina State,31,18,13,.581,11.76,7.57,9,7,14,3,3,7,2246,2116,,.383,.420,.574,49.8,60.4,,6.0,.531,18.4,,.295,True,False,9
2003,35,195,North Carolina-Asheville,32,15,17,.469,-13.19,-5.61,7,7,10,2,2,14,2320,2514,,.360,.317,.536,49.0,53.7,,5.0,.491,19.2,,.274,True,True,16
2003,36,199,North Carolina-Wilmington,31,24,7,.774,8.52,-2.80,15,3,11,1,10,5,2214,1863,,.327,.333,.548,48.5,56.9,,3.6,.520,14.8,,.227,True,True,11
2003,37,208,Notre Dame,34,24,10,.706,17.32,9.43,10,6,14,2,4,5,2692,2424,,.368,.358,.558,49.8,60.9,,8.5,.515,15.6,,.280,True,False,5
2003,38,213,Oklahoma,34,27,7,.794,18.86,8.53,12,4,15,1,5,3,2392,2041,,.329,.334,.541,53.3,56.5,,6.8,.512,15.7,,.228,True,True,1
2003,39,212,Oklahoma State,32,22,10,.688,14.62,8.46,10,6,13,2,6,5,2224,2004,,.403,.278,.523,50.8,51.0,,9.6,.492,18.2,,.262,True,False,6
2003,40,217,Oregon,33,23,10,.697,14.05,6.11,10,8,14,2,5,6,2689,2427,,.336,.369,.569,49.4,60.7,,4.5,.529,17.6,,.260,True,True,8
2003,41,220,Pennsylvania,28,22,6,.786,8.44,-1.45,14,0,11,2,10,3,1958,1681,,.365,.425,.583,51.8,62.6,,4.1,.554,18.0,,.259,True,False,11
2003,42,222,Pittsburgh,33,28,5,.848,21.49,5.79,13,3,16,0,7,4,2473,1955,,.424,.324,.583,55.0,66.0,,7.7,.565,18.6,,.271,True,True,2
2003,43,228,Purdue,30,19,11,.633,15.95,9.42,10,6,14,1,3,6,2156,1960,,.462,.285,.540,49.6,50.3,,5.2,.484,17.1,,.347,True,False,9
2003,44,240,Saint Joseph's,30,23,7,.767,14.61,3.71,12,4,11,1,9,5,2111,1784,,.376,.402,.547,49.9,57.5,,10.1,.516,16.7,,.258,True,False,7
2003,45,244,Sam Houston State,30,23,7,.767,-1.65,-6.87,17,3,16,0,7,5,2185,1951,,.424,.331,.556,51.3,66.8,,10.1,.518,19.5,,.299,True,True,15
2003,46,247,San Diego,30,18,12,.600,5.46,2.74,10,4,9,5,9,6,2265,2143,,.485,.341,.566,53.5,64.8,,5.6,.535,21.1,,.323,True,True,13
2003,47,255,South Carolina State,31,20,11,.645,-9.20,-10.14,15,3,8,2,9,7,2238,2209,,.465,.288,.545,51.0,41.3,,5.0,.502,22.7,,.325,True,True,16
2003,48,261,Southern Illinois,31,24,7,.774,8.57,2.37,16,2,14,0,8,5,2307,2115,,.335,.274,.553,49.1,50.8,,5.8,.523,15.7,,.234,True,False,11
2003,49,269,Stanford,33,24,9,.727,13.25,8.37,14,4,14,3,7,3,2391,2230,,.351,.337,.532,53.6,56.6,,6.1,.502,17.3,,.238,True,False,4
2003,50,273,Syracuse,35,30,5,.857,19.02,9.02,13,3,17,0,6,3,2785,2435,,.376,.252,.551,51.7,51.3,,11.0,.519,16.3,,.260,True,False,3
2003,51,289,Texas,33,26,7,.788,18.91,9.27,13,3,14,0,5,4,2618,2300,,.398,.268,.536,54.5,52.2,,6.2,.493,15.0,,.287,True,False,1
2003,52,286,Texas Southern,31,18,13,.581,-9.57,-11.21,11,7,11,3,4,8,2268,2217,,.509,.334,.531,52.3,57.3,,3.6,.503,18.1,,.311,True,True,16
2003,53,292,Troy,32,26,6,.813,2.86,-4.80,14,2,10,1,12,3,2556,2262,,.286,.433,.532,50.9,54.2,,8.6,.506,15.3,,.197,True,True,14
2003,54,294,Tulsa,33,23,10,.697,10.41,2.29,12,6,14,3,6,6,2423,2155,,.329,.314,.556,51.3,55.6,,8.2,.523,17.7,,.240,True,True,13
2003,55,41,University of California,31,22,9,.710,11.77,7.58,13,5,13,1,7,4,2301,2171,,.330,.291,.547,50.7,57.5,,4.8,.520,17.1,,.225,True,False,8
2003,56,297,Utah,33,25,8,.758,11.00,5.25,11,3,15,1,7,4,2191,1991,,.369,.369,.555,51.9,56.4,,7.6,.521,17.8,,.263,True,False,9
2003,57,296,Utah State,33,24,9,.727,4.16,-1.43,12,6,12,2,7,6,2197,1979,,.377,.264,.539,55.6,58.9,,4.1,.501,16.6,,.269,True,True,15
2003,58,300,Vermont,33,21,12,.636,-1.32,-4.85,11,5,11,1,7,8,2275,2111,,.342,.278,.523,55.2,57.1,,5.5,.494,18.1,,.228,True,True,16
2003,59,306,Wagner,32,21,11,.656,-3.33,-6.48,14,4,14,1,7,9,2403,2302,,.335,.320,.563,51.5,59.4,,4.9,.531,18.4,,.243,True,True,15
2003,60,307,Wake Forest,31,25,6,.806,16.96,6.96,13,3,17,0,7,4,2412,2102,,.457,.315,.557,56.5,54.8,,7.7,.506,18.0,,.344,True,False,2
2003,61,310,Weber State,32,26,6,.813,4.56,-2.01,14,0,13,0,9,4,2385,2164,,.477,.337,.569,51.5,56.9,,1.4,.523,16.1,,.349,True,True,12
2003,62,314,Western Kentucky,33,24,9,.727,7.71,1.40,12,2,16,0,5,7,2430,2194,,.371,.372,.554,52.1,55.0,,6.5,.529,18.5,,.245,True,True,13
2003,63,319,Wisconsin,32,24,8,.750,17.48,6.51,12,4,16,1,6,5,2250,1899,,.359,.327,.558,51.5,53.0,,5.3,.521,14.2,,.263,True,False,5
2003,64,323,Xavier,32,26,6,.813,16.08,4.61,15,1,14,1,10,2,2482,2115,,.407,.301,.548,53.8,61.5,,4.9,.502,15.2,,.304,True,False,3
2004,0,1,Air Force,29,22,7,.759,9.12,0.08,12,2,13,0,8,5,1737,1475,,.373,.532,.607,43.4,66.0,,5.7,.582,18.2,,.265,True,False,11
2004,1,6,Alabama,33,20,13,.606,14.29,10.20,8,8,11,4,4,6,2380,2245,,.408,.342,.553,50.4,48.6,,5.9,.516,16.4,,.289,True,False,8
2004,2,5,Alabama State,31,16,15,.516,-11.10,-10.78,11,7,7,4,5,9,1904,1913,,.454,.339,.514,51.9,49.3,,5.8,.476,22.5,,.297,True,True,16
2004,3,4,Alabama-Birmingham,32,22,10,.688,11.76,5.63,12,4,14,1,5,5,2414,2218,,.327,.322,.521,46.6,63.9,,6.5,.493,15.7,,.218,True,False,16
2004,4,12,Arizona,30,20,10,.667,15.30,6.63,11,7,13,2,5,5,2614,2354,,.335,.293,.582,52.7,59.4,,6.9,.543,16.6,,.264,True,False,9
2004,5,27,Boston College,34,24,10,.706,11.99,7.17,10,6,13,3,5,5,2312,2148,,.447,.218,.530,52.2,66.3,,5.2,.491,17.3,,.304,True,False,6
2004,6,31,Brigham Young,30,21,9,.700,12.70,6.31,10,4,13,0,5,7,2200,1966,,.440,.310,.579,54.4,58.2,,6.3,.541,17.7,,.319,True,False,12
2004,7,47,Central Florida,31,25,6,.806,1.86,-5.87,17,3,12,1,11,3,2181,1916,,.294,.380,.552,53.3,65.7,,8.6,.524,19.3,,.211,True,True,14
2004,8,50,Charlotte,30,21,9,.700,12.24,4.70,12,4,10,3,10,4,2374,2148,,.442,.378,.543,53.0,59.6,,5.0,.514,17.3,,.287,True,False,13
2004,9,53,Cincinnati,32,25,7,.781,18.75,6.28,12,4,18,1,6,5,2455,2056,,.382,.323,.549,52.9,59.6,,9.8,.521,14.9,,.256,True,True,4
2004,10,63,Connecticut,39,33,6,.846,22.64,7.77,12,4,17,1,6,4,3073,2493,,.345,.258,.549,56.1,59.0,,12.6,.532,16.0,,.215,True,True,2
2004,11,69,Dayton,33,24,9,.727,7.11,3.57,12,4,15,2,6,5,2244,2127,,.411,.369,.538,55.0,62.7,,5.0,.506,18.3,,.273,True,False,10
2004,12,73,DePaul,32,22,10,.688,9.06,6.38,12,4,11,4,7,5,2257,2171,,.382,.256,.544,53.1,53.8,,4.1,.510,16.9,,.267,True,False,7
2004,13,77,Duke,37,31,6,.838,25.67,10.86,13,3,14,1,8,2,2954,2406,,.412,.334,.572,51.6,52.7,,11.1,.532,16.5,,.303,True,False,1
2004,14,80,East Tennessee State,33,27,6,.818,4.19,-3.15,15,1,12,0,11,3,2618,2291,,.370,.282,.541,50.0,53.4,,9.3,.508,17.5,,.255,True,True,13
2004,15,84,Eastern Washington,30,17,13,.567,0.83,-0.34,11,3,11,1,6,9,2102,2035,,.386,.310,.564,49.6,64.3,,3.1,.531,19.6,,.273,True,True,15
2004,16,93,Florida,31,20,11,.645,16.29,9.19,9,7,11,4,4,5,2369,2149,,.358,.385,.589,50.6,59.3,,5.5,.555,18.4,,.269,True,False,5
2004,17,89,Florida A&M,32,15,17,.469,-9.85,-7.94,10,8,8,4,3,12,2311,2372,,.428,.434,.533,47.5,54.2,,2.9,.490,19.9,,.303,True,True,16
2004,18,103,Georgia Tech,38,28,10,.737,20.66,11.21,9,7,13,3,8,5,2911,2552,,.383,.329,.557,50.1,56.3,,7.7,.525,18.1,,.265,True,False,3
2004,19,105,Gonzaga,31,28,3,.903,18.94,3.32,14,0,14,0,11,0,2536,2052,,.410,.278,.601,55.8,61.8,,6.1,.565,16.5,,.308,True,True,2
2004,20,121,Illinois,33,26,7,.788,16.93,7.08,13,3,12,1,7,2,2402,2077,,.301,.349,.553,52.0,63.7,,7.0,.528,15.6,,.209,True,False,5
2004,21,119,Illinois-Chicago,32,24,8,.750,6.00,-0.47,12,4,11,1,9,3,2223,2016,,.390,.228,.522,52.2,57.8,,5.1,.495,16.0,,.248,True,True,9
2004,22,134,Kansas,33,24,9,.727,17.10,9.44,12,4,13,1,5,5,2503,2218,,.386,.292,.550,52.8,63.9,,8.4,.514,17.6,,.273,True,False,4
2004,23,136,Kentucky,32,27,5,.844,18.83,8.55,13,3,11,2,7,2,2365,2036,,.343,.313,.556,53.6,58.5,,6.3,.527,18.0,,.239,True,True,1
2004,24,140,Lehigh,31,20,11,.645,-7.30,-8.88,10,4,13,1,5,9,2082,1974,,.346,.334,.520,51.5,56.5,,6.4,.482,18.4,,.248,True,True,16
2004,25,141,Liberty,33,18,15,.545,-3.12,-4.22,12,4,13,2,4,10,2284,2224,,.340,.350,.514,51.5,56.3,,5.5,.482,19.2,,.230,True,True,16
2004,26,145,Louisiana,29,20,9,.690,6.24,0.42,12,3,10,1,6,7,2234,2000,,.341,.372,.560,48.7,59.5,,3.7,.534,17.4,,.235,True,True,14
2004,27,149,Louisville,30,20,10,.667,18.60,6.97,9,7,13,2,5,6,2195,1846,,.365,.406,.532,50.2,62.4,,9.0,.488,16.7,,.273,True,False,10
2004,28,154,Manhattan,31,25,6,.806,9.29,-1.26,16,2,13,2,8,3,2311,1984,,.463,.284,.549,50.9,44.4,,7.8,.494,15.8,,.352,True,True,12
2004,29,160,Maryland,32,20,12,.625,16.96,11.68,7,9,12,4,6,5,2477,2308,,.416,.242,.512,51.7,50.6,,11.3,.482,16.7,,.262,True,True,4
2004,30,163,Memphis,30,22,8,.733,13.06,5.96,12,4,15,0,6,5,2172,1959,,.383,.412,.525,52.3,57.7,,9.1,.494,15.6,,.252,True,False,7
2004,31,167,Michigan State,30,18,12,.600,12.15,8.38,12,4,12,2,5,6,2138,2025,,.386,.312,.595,51.4,59.0,,3.6,.555,19.6,,.298,True,False,7
2004,32,172,Mississippi State,30,26,4,.867,16.78,6.08,14,2,12,2,12,0,2318,1997,,.406,.317,.550,55.4,50.6,,7.5,.522,17.9,,.270,True,False,2
2004,33,178,Monmouth,33,21,12,.636,-4.84,-5.66,12,6,13,0,5,10,2253,2226,,.385,.375,.529,47.2,60.4,,4.5,.483,17.3,,.285,True,True,15
