"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"1498","Eastern Washington ","30","17","13",".567","0.83","-0.34","2102","2035","","",".386",".310",".564","49.6","64.3","","3.1",".531","19.6","",".273",2004,"NCAA","Eastern Washington "
"1503","Florida A&M ","32","15","17",".469","-9.85","-7.94","2311","2372","","",".428",".434",".533","47.5","54.2","","2.9",".490","19.9","",".303",2004,"NCAA","Florida A&M "
"1507","Florida ","31","20","11",".645","16.29","9.19","2369","2149","","",".358",".385",".589","50.6","59.3","","5.5",".555","18.4","",".269",2004,"NCAA","Florida "
"1519","Georgia Tech ","38","28","10",".737","20.66","11.21","2911","2552","","",".383",".329",".557","50.1","56.3","","7.7",".525","18.1","",".265",2004,"NCAA","Georgia Tech "
"1521","Gonzaga ","31","28","3",".903","18.94","3.32","2536","2052","","",".410",".278",".601","55.8","61.8","","6.1",".565","16.5","",".308",2004,"NCAA","Gonzaga "
"1535","Illinois-Chicago ","32","24","8",".750","6.00","-0.47","2223","2016","","",".390",".228",".522","52.2","57.8","","5.1",".495","16.0","",".248",2004,"NCAA","Illinois-Chicago "
"1539","Illinois ","33","26","7",".788","16.93","7.08","2402","2077","","",".301",".349",".553","52.0","63.7","","7.0",".528","15.6","",".209",2004,"NCAA","Illinois "
"1552","Kansas ","33","24","9",".727","17.10","9.44","2503","2218","","",".386",".292",".550","52.8","63.9","","8.4",".514","17.6","",".273",2004,"NCAA","Kansas "
"1554","Kentucky ","32","27","5",".844","18.83","8.55","2365","2036","","",".343",".313",".556","53.6","58.5","","6.3",".527","18.0","",".239",2004,"NCAA","Kentucky "
"1558","Lehigh ","31","20","11",".645","-7.30","-8.88","2082","1974","","",".346",".334",".520","51.5","56.5","","6.4",".482","18.4","",".248",2004,"NCAA","Lehigh "
"1561","Liberty ","33","18","15",".545","-3.12","-4.22","2284","2224","","",".340",".350",".514","51.5","56.3","","5.5",".482","19.2","",".230",2004,"NCAA","Liberty "
"1565","Louisiana ","29","20","9",".690","6.24","0.42","2234","2000","","",".341",".372",".560","48.7","59.5","","3.7",".534","17.4","",".235",2004,"NCAA","Louisiana "
"1569","Louisville ","30","20","10",".667","18.60","6.97","2195","1846","","",".365",".406",".532","50.2","62.4","","9.0",".488","16.7","",".273",2004,"NCAA","Louisville "
"1574","Manhattan ","31","25","6",".806","9.29","-1.26","2311","1984","","",".463",".284",".549","50.9","44.4","","7.8",".494","15.8","",".352",2004,"NCAA","Manhattan "
"1580","Maryland ","32","20","12",".625","16.96","11.68","2477","2308","","",".416",".242",".512","51.7","50.6","","11.3",".482","16.7","",".262",2004,"NCAA","Maryland "
"1585","Memphis ","30","22","8",".733","13.06","5.96","2172","1959","","",".383",".412",".525","52.3","57.7","","9.1",".494","15.6","",".252",2004,"NCAA","Memphis "
"1589","Michigan State ","30","18","12",".600","12.15","8.38","2138","2025","","",".386",".312",".595","51.4","59.0","","3.6",".555","19.6","",".298",2004,"NCAA","Michigan State "
"1594","Mississippi State ","30","26","4",".867","16.78","6.08","2318","1997","","",".406",".317",".550","55.4","50.6","","7.5",".522","17.9","",".270",2004,"NCAA","Mississippi State "
"1600","Monmouth ","33","21","12",".636","-4.84","-5.66","2253","2226","","",".385",".375",".529","47.2","60.4","","4.5",".483","17.3","",".285",2004,"NCAA","Monmouth "
"1608","Murray State ","34","28","6",".824","7.22","-3.20","2730","2342","","",".363",".328",".579","53.2","64.0","","7.4",".551","16.8","",".258",2004,"NCAA","Murray State "
"1612","Nevada ","34","25","9",".735","14.91","5.82","2579","2257","","",".417",".252",".541","53.9","53.1","","7.8",".496","15.7","",".304",2004,"NCAA","Nevada "
"1623","North Carolina State ","31","21","10",".677","18.45","10.61","2261","2018","","",".357",".446",".573","50.5","59.7","","4.1",".527","17.5","",".285",2004,"NCAA","North Carolina State "
"1627","North Carolina ","30","19","11",".633","19.40","12.04","2464","2243","","",".392",".290",".543","52.8","61.3","","6.7",".510","16.9","",".269",2004,"NCAA","North Carolina "
"1632","Northern Iowa ","31","21","10",".677","6.87","3.20","2147","2015","","",".394",".383",".550","49.9","56.7","","3.6",".508","16.6","",".291",2004,"NCAA","Northern Iowa "
"1639","Oklahoma State ","35","31","4",".886","20.85","7.23","2698","2188","","",".389",".226",".583","53.9","56.0","","6.7",".556","16.8","",".270",2004,"NCAA","Oklahoma State "
"1645","Pacific ","33","25","8",".758","5.76","0.95","2272","2097","","",".457",".334",".572","50.5","62.6","","5.5",".528","19.2","",".336",2004,"NCAA","Pacific "
"1651","Pittsburgh ","36","31","5",".861","18.20","6.49","2446","2031","","",".389",".255",".537","53.9","57.9","","8.5",".510","16.7","",".254",2004,"NCAA","Pittsburgh "
"1655","Princeton ","28","20","8",".714","1.54","-3.32","1760","1591","","",".344",".379",".573","52.4","59.3","","6.8",".545","19.5","",".245",2004,"NCAA","Princeton "
"1656","Providence ","29","20","9",".690","14.87","8.21","2060","1867","","",".347",".395",".555","50.5","63.5","","8.8",".522","18.9","",".250",2004,"NCAA","Providence "
"1662","Richmond ","33","20","13",".606","10.07","5.07","2129","1964","","",".361",".339",".507","50.0","55.1","","8.3",".463","17.1","",".260",2004,"NCAA","Richmond "
"1671","Saint Joseph's ","32","30","2",".938","20.03","4.97","2476","1994","","",".337",".425",".586","47.3","60.0","","6.2",".561","14.9","",".237",2004,"NCAA","Saint Joseph's "
"1683","Seton Hall ","31","21","10",".677","14.28","7.78","2228","2028","","",".346",".296",".544","51.7","50.4","","5.3",".510","16.4","",".247",2004,"NCAA","Seton Hall "
"1687","South Carolina ","34","23","11",".676","12.77","5.33","2383","2130","","",".354",".355",".524","49.3","59.0","","9.3",".492","16.4","",".239",2004,"NCAA","South Carolina "
"1694","Southern Illinois ","30","25","5",".833","10.70","2.64","2131","1889","","",".304",".309",".524","50.5","53.9","","5.9",".495","15.1","",".210",2004,"NCAA","Southern Illinois "
"1702","Stanford ","32","30","2",".938","17.46","4.34","2356","1936","","",".368",".262",".566","55.0","60.4","","8.0",".527","17.9","",".276",2004,"NCAA","Stanford "
"1706","Syracuse ","31","23","8",".742","13.06","7.61","2265","2096","","",".366",".235",".528","50.6","54.9","","11.1",".502","15.6","",".235",2004,"NCAA","Syracuse "
"1718","Texas-El Paso ","32","24","8",".750","11.42","3.55","2479","2161","","",".467",".293",".580","49.9","62.7","","4.6",".533","17.2","",".351",2004,"NCAA","Texas-El Paso "
"1720","Texas-San Antonio ","33","19","14",".576","-7.22","-6.11","2400","2367","","",".409",".342",".530","50.6","51.8","","5.0",".491","19.9","",".285",2004,"NCAA","Texas-San Antonio "
"1723","Texas Tech ","34","23","11",".676","14.71","8.21","2490","2269","","",".354",".187",".537","48.7","54.8","","6.1",".496","15.5","",".262",2004,"NCAA","Texas Tech "
"1724","Texas ","33","25","8",".758","18.52","8.40","2529","2195","","",".355",".298",".529","54.5","49.4","","6.7",".497","14.0","",".241",2004,"NCAA","Texas "
"1732","Utah ","33","24","9",".727","11.37","4.53","2134","1893","","",".341",".310",".563","56.0","55.5","","6.7",".531","19.6","",".247",2004,"NCAA","Utah "
"1733","Valparaiso ","31","18","13",".581","-0.09","0.01","2217","2201","","",".425",".307",".530","51.6","62.0","","5.4",".487","19.3","",".300",2004,"NCAA","Valparaiso "
"1734","Vanderbilt ","33","23","10",".697","15.70","7.58","2414","2146","","",".352",".382",".552","50.4","64.3","","6.2",".519","16.1","",".250",2004,"NCAA","Vanderbilt "
"1737","Vermont ","31","22","9",".710","-2.75","-6.36","2045","1933","","",".317",".355",".511","51.8","60.9","","5.1",".480","16.2","",".215",2004,"NCAA","Vermont "
"1739","Virginia Commonwealth ","31","23","8",".742","6.80","-0.17","2202","1986","","",".360",".310",".551","53.2","50.2","","6.8",".536","20.3","",".218",2004,"NCAA","Virginia Commonwealth "
"1744","Wake Forest ","31","21","10",".677","18.45","11.03","2590","2360","","",".447",".330",".576","52.2","55.2","","5.2",".539","16.9","",".318",2004,"NCAA","Wake Forest "
"1746","Washington ","31","19","12",".613","9.46","6.43","2543","2449","","",".412",".298",".556","49.9","56.3","","4.9",".518","17.1","",".294",2004,"NCAA","Washington "
"1752","Western Michigan ","31","26","5",".839","12.31","-0.11","2434","2049","","",".397",".318",".556","54.2","56.1","","5.0",".518","15.8","",".286",2004,"NCAA","Western Michigan "
"1756","Wisconsin ","32","25","7",".781","18.96","7.49","2190","1823","","",".405",".334",".544","52.0","56.4","","5.6",".503","13.7","",".292",2004,"NCAA","Wisconsin "
"1762","Xavier ","37","26","11",".703","13.84","5.84","2635","2339","","",".378",".367",".543","51.6","54.4","","4.2",".510","15.9","",".260",2004,"NCAA","Xavier "
"1767","Alabama A&M ","32","18","14",".563","-11.96","-12.86","2229","2169","","",".435",".345",".486","47.0","55.9","","6.5",".453","17.6","",".267",2005,"NCAA","Alabama A&M "
"1768","Alabama-Birmingham ","33","22","11",".667","10.42","4.78","2557","2371","","",".389",".313",".541","46.6","57.3","","5.4",".505","15.8","",".271",2005,"NCAA","Alabama-Birmingham "
"1770","Alabama ","32","24","8",".750","16.74","6.81","2426","2083","","",".432",".373",".594","53.9","55.3","","7.5",".557","16.7","",".318",2005,"NCAA","Alabama "
"1776","Arizona ","37","30","7",".811","18.00","8.03","2948","2579","","",".309",".279",".570","52.9","56.6","","6.6",".534","17.5","",".240",2005,"NCAA","Arizona "
"1793","Boston College ","30","25","5",".833","14.38","6.41","2174","1935","","",".428",".293",".536","53.4","68.6","","7.1",".493","16.6","",".305",2005,"NCAA","Boston College "
"1799","Bucknell ","33","23","10",".697","2.12","-2.19","2097","1946","","",".424",".373",".551","50.3","59.1","","5.8",".513","21.1","",".297",2005,"NCAA","Bucknell "
"1815","Central Florida ","33","24","9",".727","-4.91","-7.78","2304","2152","","",".382",".446",".573","54.2","65.3","","8.2",".544","19.8","",".266",2005,"NCAA","Central Florida "
"1818","Charlotte ","29","21","8",".724","9.63","3.97","2257","2093","","",".413",".357",".534","51.0","53.6","","5.2",".497","15.5","",".282",2005,"NCAA","Charlotte "
"1819","Chattanooga ","31","20","11",".645","-1.37","-3.59","2253","2034","","",".418",".317",".538","57.5","56.6","","3.4",".503","20.4","",".284",2005,"NCAA","Chattanooga "
"1821","Cincinnati ","33","25","8",".758","17.64","6.74","2505","2130","","",".457",".330",".535","52.9","58.8","","11.2",".494","15.7","",".315",2005,"NCAA","Cincinnati "
"1833","Connecticut ","31","23","8",".742","18.82","7.62","2419","2072","","",".413",".260",".540","57.1","61.6","","13.7",".502","17.3","",".289",2005,"NCAA","Connecticut "
"1836","Creighton ","34","23","11",".676","10.14","3.84","2421","2207","","",".363",".388",".567","47.8","58.7","","6.1",".533","16.2","",".265",2005,"NCAA","Creighton "
"1840","Delaware State ","33","19","14",".576","-6.68","-6.89","2043","2036","","",".421",".392",".537","47.0","52.6","","5.8",".488","19.5","",".313",2005,"NCAA","Delaware State "
"1847","Duke ","33","27","6",".818","23.01","10.04","2581","2153","","",".429",".398",".560","51.1","49.4","","11.0",".521","16.5","",".305",2005,"NCAA","Duke "
"1854","Eastern Kentucky ","31","22","9",".710","-2.68","-5.18","2256","2078","","",".313",".311",".554","52.1","56.8","","7.2",".531","18.1","",".210",2005,"NCAA","Eastern Kentucky "
"1860","Fairleigh Dickinson ","33","20","13",".606","-4.13","-6.91","2432","2310","","",".324",".317",".534","50.8","55.7","","7.8",".508","17.0","",".216",2005,"NCAA","Fairleigh Dickinson "
"1865","Florida ","32","24","8",".750","20.18","7.12","2438","2020","","",".409",".358",".583","54.2","56.3","","8.4",".552","17.5","",".289",2005,"NCAA","Florida "
"1871","George Washington ","30","22","8",".733","10.62","1.05","2308","2021","","",".396",".255",".555","52.2","58.1","","7.6",".522","17.7","",".274",2005,"NCAA","George Washington "
"1877","Georgia Tech ","32","20","12",".625","17.21","9.78","2371","2133","","",".372",".304",".537","51.6","55.5","","8.6",".503","17.9","",".257",2005,"NCAA","Georgia Tech "
"1879","Gonzaga ","31","26","5",".839","13.30","4.37","2454","2159","","",".468",".237",".590","55.8","56.8","","5.8",".548","16.7","",".346",2005,"NCAA","Gonzaga "
"1897","Illinois ","39","37","2",".949","24.10","8.47","3002","2382","","",".288",".388",".585","52.3","66.6","","5.9",".560","14.3","",".210",2005,"NCAA","Illinois "
"1901","Iowa State ","31","19","12",".613","11.37","8.40","2112","2005","","",".352",".216",".504","49.6","56.6","","6.9",".469","16.2","",".240",2005,"NCAA","Iowa State "
"1902","Iowa ","33","21","12",".636","14.97","9.34","2407","2221","","",".407",".305",".551","50.9","59.6","","9.2",".517","17.9","",".281",2005,"NCAA","Iowa "
"1910","Kansas ","30","23","7",".767","20.68","10.85","2251","1956","","",".385",".320",".565","52.4","61.8","","6.7",".534","17.9","",".268",2005,"NCAA","Kansas "
"1912","Kentucky ","34","28","6",".824","19.16","8.10","2503","2127","","",".375",".327",".548","50.9","56.5","","8.0",".521","16.3","",".249",2005,"NCAA","Kentucky "
"1923","Louisiana ","31","20","11",".645","5.71","1.91","2239","2109","","",".363",".334",".530","52.2","46.6","","5.3",".502","18.6","",".239",2005,"NCAA","Louisiana "
"1925","Louisiana State ","30","20","10",".667","11.60","7.77","2257","2142","","",".405",".338",".560","53.3","57.0","","7.3",".520","16.7","",".296",2005,"NCAA","Louisiana State "
"1927","Louisville ","38","33","5",".868","22.57","6.18","3066","2436","","",".436",".418",".586","54.1","58.4","","7.0",".550","17.0","",".315",2005,"NCAA","Louisville "
"1947","Michigan State ","33","26","7",".788","20.47","7.41","2590","2159","","",".373",".328",".587","55.2","61.8","","5.0",".546","17.0","",".290",2005,"NCAA","Michigan State "
"1950","Milwaukee ","32","26","6",".813","10.41","1.44","2400","2059","","",".364",".395",".550","50.7","54.2","","6.5",".517","16.6","",".256",2005,"NCAA","Milwaukee "
"1951","Minnesota ","32","21","11",".656","12.06","6.96","2175","2012","","",".384",".285",".539","52.0","58.8","","8.5",".501","20.4","",".271",2005,"NCAA","Minnesota "
"1952","Mississippi State ","34","23","11",".676","12.55","6.05","2466","2245","","",".404",".301",".528","55.8","54.6","","5.7",".495","17.7","",".269",2005,"NCAA","Mississippi State "
"1960","Montana ","31","18","13",".581","-3.63","-3.49","2152","2132","","",".460",".320",".550","52.6","57.7","","5.1",".514","21.2","",".311",2005,"NCAA","Montana "
"1970","Nevada ","32","25","7",".781","9.25","3.02","2225","1974","","",".454",".186",".529","55.3","60.7","","8.9",".482","18.1","",".321",2005,"NCAA","Nevada "
"1973","New Mexico ","33","26","7",".788","11.09","1.51","2492","2121","","",".436",".397",".596","51.6","57.4","","6.2",".571","17.8","",".296",2005,"NCAA","New Mexico "
"1975","Niagara ","30","20","10",".667","3.12","-3.08","2537","2351","","",".413",".393",".554","54.7","56.8","","5.4",".505","14.5","",".314",2005,"NCAA","Niagara "
"1981","North Carolina State ","35","21","14",".600","16.16","9.16","2559","2314","","",".387",".415",".564","48.3","60.7","","8.4",".532","16.1","",".273",2005,"NCAA","North Carolina State "
"1985","North Carolina ","37","33","4",".892","28.42","10.66","3257","2600","","",".442",".304",".596","55.1","62.6","","6.2",".560","17.8","",".320",2005,"NCAA","North Carolina "
"1990","Northern Iowa ","32","21","11",".656","10.14","5.31","2311","2127","","",".318",".336",".569","50.8","58.0","","7.9",".545","15.5","",".222",2005,"NCAA","Northern Iowa "
"1994","Oakland ","32","13","19",".406","-2.66","0.86","2269","2352","","",".372",".329",".534","48.9","58.4","","4.4",".505","15.5","",".247",2005,"NCAA","Oakland "
"1996","Ohio ","32","21","11",".656","5.36","1.80","2288","2174","","",".479",".331",".556","49.6","48.4","","4.9",".516","17.1","",".334",2005,"NCAA","Ohio "
"1997","Oklahoma State ","33","26","7",".788","21.40","9.68","2583","2151","","",".364",".308",".601","54.0","61.0","","4.9",".562","17.4","",".284",2005,"NCAA","Oklahoma State "
"1998","Oklahoma ","33","25","8",".758","19.96","8.84","2480","2088","","",".342",".302",".559","53.0","56.3","","7.7",".532","16.8","",".236",2005,"NCAA","Oklahoma "
"1999","Old Dominion ","34","28","6",".824","5.97","-2.59","2430","2079","","",".352",".319",".532","51.4","63.5","","8.2",".497","15.4","",".246",2005,"NCAA","Old Dominion "
"2003","Pacific ","31","27","4",".871","8.95","1.16","2258","2011","","",".395",".329",".595","54.6","58.2","","5.3",".560","18.3","",".293",2005,"NCAA","Pacific "
"2007","Pennsylvania ","29","20","9",".690","4.71","-1.98","1982","1788","","",".405",".356",".526","53.2","61.4","","6.1",".494","19.5","",".267",2005,"NCAA","Pennsylvania "
"2009","Pittsburgh ","29","20","9",".690","14.53","5.73","2097","1842","","",".432",".295",".555","56.3","59.5","","7.5",".527","18.2","",".285",2005,"NCAA","Pittsburgh "
"2031","Saint Mary's (CA) ","34","25","9",".735","6.68","2.40","2373","2178","","",".420",".369",".544","53.0","47.9","","5.9",".501","19.7","",".304",2005,"NCAA","Saint Mary's (CA) "
"2048","Southeastern Louisiana ","33","24","9",".727","-0.86","-5.22","2085","1842","","",".402",".227",".527","50.2","50.5","","7.9",".498","18.9","",".260",2005,"NCAA","Southeastern Louisiana "
"2052","Southern Illinois ","35","27","8",".771","11.53","5.12","2365","2123","","",".270",".283",".536","50.3","53.4","","5.8",".503","16.9","",".202",2005,"NCAA","Southern Illinois "
"2060","Stanford ","31","18","13",".581","9.10","8.13","2173","2134","","",".382",".204",".517","50.4","48.2","","4.8",".470","16.9","",".282",2005,"NCAA","Stanford "
"2064","Syracuse ","34","27","7",".794","15.95","6.83","2548","2197","","",".383",".255",".551","52.8","55.5","","8.1",".524","16.7","",".256",2005,"NCAA","Syracuse "
"2076","Texas-El Paso ","35","27","8",".771","9.61","0.91","2616","2278","","",".391",".292",".564","51.1","64.3","","5.4",".514","15.5","",".310",2005,"NCAA","Texas-El Paso "
"2081","Texas Tech ","33","22","11",".667","16.24","9.11","2535","2287","","",".356",".187",".554","49.6","59.3","","6.3",".513","15.6","",".269",2005,"NCAA","Texas Tech "
"2082","Texas ","31","20","11",".645","15.49","7.56","2384","2124","","",".408",".350",".558","53.4","49.8","","7.1",".524","16.9","",".285",2005,"NCAA","Texas "
"2088","UCLA ","29","18","11",".621","9.16","7.09","2138","2078","","",".383",".325",".547","52.9","55.7","","4.3",".508","19.2","",".276",2005,"NCAA","UCLA "
"2089","Utah State ","32","24","8",".750","12.75","-1.47","2315","1848","","",".382",".292",".604","55.4","64.5","","5.3",".582","17.1","",".264",2005,"NCAA","Utah State "
"2090","Utah ","35","29","6",".829","14.01","4.54","2379","2005","","",".472",".291",".597","59.1","61.6","","5.3",".562","20.2","",".338",2005,"NCAA","Utah "
"2095","Vermont ","32","25","7",".781","7.80","-1.95","2299","1987","","",".314",".406",".540","53.7","61.2","","3.1",".507","15.1","",".227",2005,"NCAA","Vermont "
"2096","Villanova ","32","24","8",".750","19.06","8.43","2336","1996","","",".376",".340",".539","52.9","48.1","","10.5",".496","15.9","",".277",2005,"NCAA","Villanova "
"2102","Wake Forest ","33","27","6",".818","20.24","10.27","2801","2441","","",".461",".320",".584","54.9","55.0","","5.9",".555","16.8","",".315",2005,"NCAA","Wake Forest "
"2104","Washington ","35","29","6",".829","19.77","7.66","3026","2596","","",".339",".295",".574","52.8","59.9","","4.3",".542","15.9","",".249",2005,"NCAA","Washington "
"2106","West Virginia ","35","24","11",".686","11.76","7.62","2501","2356","","",".311",".459",".564","47.0","66.6","","6.9",".532","15.7","",".231",2005,"NCAA","West Virginia "
"2113","Winthrop ","33","27","6",".818","0.48","-6.65","2245","1961","","",".421",".350",".543","52.4","62.2","","7.5",".509","18.3","",".285",2005,"NCAA","Winthrop "
"2114","Wisconsin ","34","25","9",".735","16.76","9.61","2290","2047","","",".383",".358",".542","52.7","56.3","","3.4",".510","15.5","",".259",2005,"NCAA","Wisconsin "
"2123","Air Force ","31","24","7",".774","10.20","2.49","1990","1695","","",".331",".484",".609","45.7","65.2","","4.7",".581","17.0","",".246",2006,"NCAA","Air Force "
"2126","Alabama-Birmingham ","31","24","7",".774","9.64","1.57","2306","2035","","",".374",".356",".539","44.2","58.6","","6.6",".514","15.6","",".242",2006,"NCAA","Alabama-Birmingham "
"2128","Alabama ","31","18","13",".581","10.79","8.08","2178","2094","","",".415",".304",".547","53.2","50.0","","8.3",".508","17.5","",".294",2006,"NCAA","Alabama "
"2129","Albany (NY) ","32","21","11",".656","-0.44","-4.25","2194","2065","","",".411",".355",".553","51.7","54.2","","4.8",".515","18.5","",".292",2006,"NCAA","Albany (NY) "
"2134","Arizona ","33","20","13",".606","15.12","10.09","2433","2267","","",".327",".218",".517","49.8","54.1","","6.9",".481","15.7","",".232",2006,"NCAA","Arizona "
"2138","Arkansas ","32","22","10",".688","15.01","6.17","2359","2076","","",".392",".290",".541","50.2","58.9","","10.7",".507","16.4","",".271",2006,"NCAA","Arkansas "
"2146","Belmont ","31","20","11",".645","-3.53","-6.72","2499","2356","","",".353",".380",".588","50.3","57.7","","5.9",".565","19.1","",".244",2006,"NCAA","Belmont "
"2151","Boston College ","36","28","8",".778","13.79","6.10","2671","2383","","",".425",".299",".567","52.8","67.3","","7.9",".539","16.7","",".287",2006,"NCAA","Boston College "
"2154","Bradley ","33","22","11",".667","11.78","5.38","2359","2148","","",".345",".285",".524","52.0","62.9","","8.2",".487","18.1","",".247",2006,"NCAA","Bradley "
"2157","Bucknell ","32","27","5",".844","7.29","-2.29","2114","1785","","",".429",".322",".563","52.4","62.9","","3.6",".528","20.2","",".299",2006,"NCAA","Bucknell "
"2169","University of California ","31","20","11",".645","12.31","8.84","2128","2000","","",".448",".283",".549","51.2","56.1","","5.0",".502","16.5","",".329",2006,"NCAA","University of California "
"2192","Connecticut ","34","30","4",".882","21.22","6.57","2781","2283","","",".419",".246",".556","56.1","54.8","","13.5",".518","16.3","",".295",2006,"NCAA","Connecticut "
"2197","Davidson ","31","20","11",".645","1.89","-3.04","2403","2137","","",".290",".398",".560","54.1","66.3","","2.8",".527","15.7","",".221",2006,"NCAA","Davidson "
"2206","Duke ","36","32","4",".889","21.77","8.77","2921","2453","","",".450",".353",".598","48.1","55.8","","9.1",".555","16.9","",".343",2006,"NCAA","Duke "
"2224","Florida ","39","33","6",".846","20.21","5.49","3052","2478","","",".407",".348",".603","52.7","61.3","","9.1",".569","18.2","",".302",2006,"NCAA","Florida "
"2229","George Mason ","35","27","8",".771","12.11","2.77","2429","2102","","",".347",".311",".560","51.5","56.5","","6.3",".537","17.1","",".230",2006,"NCAA","George Mason "
"2230","George Washington ","30","27","3",".900","9.63","-0.33","2360","2026","","",".416",".282",".543","52.4","60.5","","8.0",".516","16.2","",".269",2006,"NCAA","George Washington "
"2233","Georgetown ","33","23","10",".697","13.98","6.92","2177","1944","","",".320",".373",".562","53.1","65.3","","7.0",".534","16.4","",".226",2006,"NCAA","Georgetown "
"2238","Gonzaga ","33","29","4",".879","12.32","5.02","2643","2402","","",".454",".266",".579","52.5","51.2","","4.7",".526","16.0","",".355",2006,"NCAA","Gonzaga "
"2241","Hampton ","32","16","16",".500","-10.17","-12.56","2120","2047","","",".368",".305",".490","53.0","51.2","","5.9",".462","19.3","",".228",2006,"NCAA","Hampton "
"2256","Illinois ","33","26","7",".788","17.20","6.29","2311","1937","","",".314",".360",".543","54.5","59.0","","4.8",".523","16.0","",".202",2006,"NCAA","Illinois "
"2258","Indiana ","31","19","12",".613","12.10","7.36","2231","2084","","",".302",".404",".564","50.8","58.5","","4.2",".540","18.4","",".209",2006,"NCAA","Indiana "
"2259","Iona ","31","23","8",".742","6.86","-0.78","2475","2238","","",".408",".266",".565","51.7","54.6","","7.0",".534","17.6","",".282",2006,"NCAA","Iona "
"2261","Iowa ","34","25","9",".735","14.18","6.80","2254","2003","","",".390",".315",".525","52.4","64.3","","8.7",".484","19.1","",".277",2006,"NCAA","Iowa "
"2269","Kansas ","33","25","8",".758","20.02","7.60","2480","2024","","",".349",".280",".553","53.6","64.6","","9.8",".528","18.7","",".235",2006,"NCAA","Kansas "
"2271","Kent State ","34","25","9",".735","6.27","0.00","2458","2239","","",".395",".350",".548","52.0","53.6","","4.8",".510","16.8","",".282",2006,"NCAA","Kent State "
"2272","Kentucky ","35","22","13",".629","13.12","8.88","2477","2316","","",".298",".375",".537","52.1","54.8","","5.4",".513","16.8","",".201",2006,"NCAA","Kentucky "
"2286","Louisiana State ","36","27","9",".750","17.54","8.77","2633","2299","","",".376",".217",".534","55.4","56.3","","11.0",".500","18.4","",".259",2006,"NCAA","Louisiana State "
"2295","Marquette ","31","20","11",".645","11.33","8.16","2325","2150","","",".301",".364",".558","49.9","58.1","","5.1",".527","18.0","",".221",2006,"NCAA","Marquette "
"2304","Memphis ","37","33","4",".892","18.81","4.24","2961","2422","","",".394",".342",".544","54.4","54.7","","11.2",".512","17.5","",".269",2006,"NCAA","Memphis "
"2308","Michigan State ","34","22","12",".647","12.24","7.27","2520","2334","","",".362",".287",".572","53.9","63.3","","5.3",".531","17.8","",".279",2006,"NCAA","Michigan State "
"2311","Milwaukee ","31","22","9",".710","7.65","1.47","2294","2061","","",".392",".332",".528","54.1","48.8","","5.4",".491","16.2","",".271",2006,"NCAA","Milwaukee "
"2321","Monmouth ","34","19","15",".559","-2.99","-4.05","2191","2155","","",".334",".361",".530","47.0","63.8","","6.4",".502","19.8","",".224",2006,"NCAA","Monmouth "
"2323","Montana ","31","24","7",".774","4.86","-0.96","2449","2202","","",".367",".331",".586","52.4","64.5","","5.4",".556","17.1","",".263",2006,"NCAA","Montana "
"2327","Murray State ","31","24","7",".774","4.16","-5.07","2203","1901","","",".305",".363",".536","52.0","60.0","","8.9",".514","15.8","",".199",2006,"NCAA","Murray State "
"2331","Nevada ","33","27","6",".818","10.16","2.26","2401","2103","","",".359",".261",".540","53.0","59.4","","8.3",".503","16.1","",".258",2006,"NCAA","Nevada "
"2345","North Carolina State ","32","22","10",".688","12.70","5.63","2383","2157","","",".398",".456",".588","47.8","63.1","","8.1",".550","17.6","",".299",2006,"NCAA","North Carolina State "
"2346","North Carolina-Wilmington ","33","25","8",".758","8.90","0.57","2250","1975","","",".322",".342",".523","51.4","62.7","","3.3",".490","16.1","",".225",2006,"NCAA","North Carolina-Wilmington "
"2347","North Carolina ","31","23","8",".742","18.48","7.77","2460","2128","","",".405",".317",".570","55.6","64.0","","6.7",".536","19.2","",".287",2006,"NCAA","North Carolina "
"2355","Northern Iowa ","33","23","10",".697","11.55","5.13","2165","1907","","",".366",".386",".555","51.1","58.2","","6.9",".520","17.1","",".264",2006,"NCAA","Northern Iowa "
"2356","Northwestern State ","34","26","8",".765","4.01","-1.38","2573","2365","","",".393",".311",".547","51.2","64.4","","6.0",".518","18.5","",".262",2006,"NCAA","Northwestern State "
"2360","Ohio State ","32","26","6",".813","16.08","5.90","2363","2037","","",".338",".401",".568","49.5","58.9","","4.7",".538","15.4","",".243",2006,"NCAA","Ohio State "
"2365","Oklahoma ","29","20","9",".690","11.89","6.79","1995","1847","","",".344",".306",".541","56.9","59.1","","6.8",".506","18.2","",".245",2006,"NCAA","Oklahoma "
"2367","Oral Roberts ","33","21","12",".636","3.23","-2.35","2472","2248","","",".391",".297",".554","53.4","61.0","","7.5",".518","17.5","",".277",2006,"NCAA","Oral Roberts "
"2370","Pacific ","32","24","8",".750","6.93","-1.57","2377","2047","","",".339",".314",".581","52.8","59.9","","3.7",".548","17.0","",".253",2006,"NCAA","Pacific "
"2372","Pennsylvania ","29","20","9",".690","6.01","-2.31","1987","1744","","",".345",".381",".535","48.6","58.2","","5.4",".507","17.1","",".233",2006,"NCAA","Pennsylvania "
